Всевишній	1
Господь	1
Христовий	1
аборт	-1
абсурд	-1
абсурдний	-1
абсурдно	-1
аварійний	-1
аварія	-2
авіаудар	-2
автентичний	1
автомат	-1
автоматний	-2
авторитетний	1
агітка	-1
агонія	-1
агресія	-1
агресивний	-1
адаптований	1
адекватний	1
адекватно	1
ажурний	1
акторський	1
акуратний	1
алкаш	-2
алкоголізм	-1
алогічний	-1
альтруїстичний	1
амбітний	1
амбіція	1
амністія	1
аморальний	-1
аморфний	-1
ангельський	1
аномальний	-1
анти	-1
антиамериканський	-1
антигромадський	-1
антигуманний	-1
антидержавний	-2
антиконституційний	-1
антинаркотичний	1
антинародний	-1
антинауковий	-1
антирадянський	-1
антисанітарний	-1
антисеміт	-1
антисемітський	-2
антисоціальний	-1
антитерористичний	1
антиутопія	-1
антихристиянський	-1
апатичний	-2
апетитний	1
аплодисменти	1
апокаліптичний	-1
арешт	-1
арматура	-2
аромат	1
артилерист	-1
артистичний	1
асоціальний	-2
атакувати	-1
афганський	-1
ахінея	-1
багатий	1
багатовимірний	1
багатогранний	1
багатодітний	1
багатомільйонний	-1
багатообіцяючий	1
багатофункціональність	1
багно	-2
бадьорий	1
бажаний	1
байдуже	-1
байдужість	-1
байдужий	-2
балаканина	-1
балакучий	-1
балалайка	-1
балувати	1
банальність	-1
банально	-1
банда	-1
бандит	-2
бандитський	-1
бандформування	-1
бандюга	-2
бандюк	-2
банкрут	-1
банкрутство	-1
барвистий	1
бароко	1
бароковий	1
батьківський	1
безальтернативний	-1
безбожний	-1
безвідповідальність	-2
безвідповідальний	-1
безвинний	-2
безвихідний	-1
безвихідь	-1
безвольний	-1
безглуздість	-2
безглуздий	-2
безглуздо	-1
безгрішний	1
безгрошовий	-1
бездарність	-2
бездарний	-2
бездіяльність	-1
бездіяти	-1
бездоганний	1
бездоганно	2
бездумний	-2
бездумно	-1
безжалісний	-1
безжальний	-2
безжально	-2
безжурний	2
беззавітний	1
беззаконний	-1
беззаконня	-1
беззахисний	-1
беззмістовний	-1
беззубий	-2
безідейний	-1
безініціативний	-1
безкарність	-1
безкарний	-2
безкомпромісний	-1
безконтрольний	-1
безкорисливий	1
безлад	-1
безладний	-1
безмежний	1
безнадійний	-1
безнадія	-1
безодня	-1
безпека	1
безперебійний	1
безперервний	-1
безперечний	1
безперспективний	-1
безпечний	1
безпечно	2
безпідставний	-1
безповоротний	-1
безпокійний	-1
безпомічний	-2
безпорадний	-2
безправний	-2
безпритульний	-1
безпрограшний	1
безпросвітний	-2
безпутний	-1
безрадісний	-1
безрезультатний	-1
безробіття	-1
